isRefactor,totalRefactors,dok0.004AuthorPreCommit,dok0.004AuthorPostCommit,dok0.004Sum,dok0.004Avg,revision,age,authors,totalAuthors,totalLoc,modified,relativeModified,180fileHcpf,180commitHcpf,nrOfFunctions,isSZZBugIntroducer
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,47.0,47.0,1.0,0.6911,0.0002,,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,30.0,30.0,1.0,0.6911,0.0002,,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1410.0,1410.0,1.0,0.6911,0.0002,,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,109.0,109.0,1.0,0.6911,0.0002,,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,58.0,58.0,1.0,0.6911,0.0002,,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,33.0,33.0,1.0,0.6911,0.0002,,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,37.0,37.0,1.0,0.6911,0.0002,5.0,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,31.0,31.0,1.0,0.6911,0.0002,,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.6911,0.0002,,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,47.0,47.0,1.0,0.6911,0.0002,,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,66.0,66.0,1.0,0.6911,0.0002,1.0,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,11.0,11.0,1.0,0.6911,0.0002,,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,138.0,138.0,1.0,0.6636,0.1624,,True
False,0.0,,0.7609,0.7938,0.3969,1.0,42838222.0,2.0,2.0,40.0,141.0,3.525,0.5715,0.4773,,False
False,0.0,0.4837,0.4917,0.5126,0.2563,2.0,52603950.0,2.0,2.0,40.0,1.0,0.025,0.7579,0.6438,,False
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3922.0,3922.0,1.0,0.6911,0.0002,,True
True,1.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,34.0,34.0,1.0,0.7538,0.7303,,False
False,1.0,0.8691,0.8729,0.8729,0.8729,1.0,3094446.0,1.0,1.0,34.0,1.0,0.029411765,0.7568,0.6669,,False
False,1.0,0.8591,0.8632,0.8632,0.8632,2.0,3381759.0,1.0,1.0,34.0,1.0,0.029411765,0.7579,0.6482,,False
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,52.0,52.0,1.0,0.6911,0.0002,,True
True,1.0,0.0888,0.2366,0.2366,0.2366,1.0,52254544.0,1.0,1.0,35.0,23.0,0.6571429,0.7538,0.7303,,False
False,1.0,0.2024,0.3311,0.3311,0.3311,2.0,55636303.0,1.0,1.0,35.0,6.0,0.17142858,0.7579,0.6482,,False
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,8.0,8.0,1.0,0.6911,0.0002,,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,42.0,42.0,1.0,0.6911,0.0002,,True
True,1.0,0.0888,0.2821,0.2821,0.2821,1.0,52254544.0,1.0,1.0,31.0,18.0,0.58064514,0.7538,0.7303,,False
False,1.0,0.2413,0.3621,0.3621,0.3621,2.0,55636303.0,1.0,1.0,31.0,6.0,0.19354838,0.7579,0.6482,,False
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,31.0,31.0,1.0,0.6911,0.0002,,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,57.0,57.0,1.0,0.6911,0.0002,,True
True,1.0,0.0888,0.2027,0.2027,0.2027,1.0,52254544.0,1.0,1.0,39.0,23.0,0.5897436,0.7538,0.7303,,False
False,1.0,0.1734,0.4962,0.4962,0.4962,2.0,55636303.0,1.0,1.0,45.0,27.0,0.6,0.7579,0.6482,,False
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,85.0,85.0,1.0,0.6911,0.0002,,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,46.0,46.0,1.0,0.6911,0.0002,,True
True,1.0,0.0888,0.2612,0.2612,0.2612,1.0,52254544.0,1.0,1.0,35.0,18.0,0.51428574,0.7538,0.7303,,False
False,1.0,0.2234,0.5104,0.5104,0.5104,2.0,55636303.0,1.0,1.0,40.0,15.0,0.375,0.7579,0.6482,,False
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,110.0,110.0,1.0,0.6911,0.0002,,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,55.0,55.0,1.0,0.6911,0.0002,,True
True,1.0,0.0888,0.1831,0.1831,0.1831,1.0,52254544.0,1.0,1.0,28.0,30.0,1.0714285,0.7538,0.7303,,False
False,1.0,0.1566,0.7672,0.7672,0.7672,2.0,55636303.0,1.0,1.0,31.0,22.0,0.7096774,0.7579,0.6482,,False
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,107.0,107.0,1.0,0.6911,0.0002,,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,47.0,47.0,1.0,0.6911,0.0002,,True
True,1.0,0.0888,0.3318,0.3318,0.3318,1.0,52254544.0,1.0,1.0,27.0,29.0,1.074074,0.7538,0.7303,,False
False,1.0,0.2838,0.3723,0.3723,0.3723,2.0,55636303.0,1.0,1.0,30.0,4.0,0.13333334,0.7579,0.6482,,False
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,27.0,27.0,1.0,0.6911,0.0002,,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,55.0,55.0,1.0,0.6911,0.0002,,True
False,0.0,,0.1129,0.3364,0.1682,1.0,29780955.0,2.0,2.0,60.0,6.0,0.1,0.6258,0.6459,,True
False,0.0,,0.1029,0.4035,0.1345,2.0,29955483.0,3.0,3.0,65.0,6.0,0.092307694,0.6244,0.7563,,False
True,1.0,0.0706,0.1623,0.1721,0.0861,3.0,52254544.0,2.0,3.0,33.0,35.0,1.060606,0.7538,0.7303,,False
False,1.0,0.1388,0.653,0.6604,0.3302,4.0,55636303.0,2.0,3.0,37.0,24.0,0.6486486,0.7579,0.6482,,False
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,47.0,47.0,1.0,0.6911,0.0002,,True
False,0.0,,0.1754,0.3831,0.1916,1.0,29780955.0,2.0,2.0,55.0,9.0,0.16363636,0.6258,0.6459,,True
False,0.0,,0.1515,0.4647,0.1549,2.0,29955483.0,3.0,3.0,63.0,9.0,0.14285715,0.6244,0.7563,,False
True,1.0,0.0633,0.2086,0.3242,0.1081,3.0,52254544.0,3.0,3.0,44.0,28.0,0.6363636,0.7538,0.7303,,False
False,1.0,0.1784,0.2633,0.3547,0.1182,4.0,55636303.0,3.0,3.0,47.0,6.0,0.12765957,0.7579,0.6482,,False
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,129.0,129.0,1.0,0.6911,0.0002,5.0,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,45.0,45.0,1.0,0.6911,0.0002,3.0,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,51.0,51.0,1.0,0.6911,0.0002,1.0,True
False,0.0,0.5438,0.5613,0.5613,0.5613,1.0,13133022.0,1.0,1.0,50.0,3.0,0.06,0.6685,0.1625,1.0,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,169.0,169.0,1.0,0.6911,0.0002,,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,75.0,75.0,1.0,0.6911,0.0002,,True
