isRefactor,totalRefactors,dok0.004AuthorPreCommit,dok0.004AuthorPostCommit,dok0.004Sum,dok0.004Avg,revision,age,authors,totalAuthors,totalLoc,modified,relativeModified,180fileHcpf,180commitHcpf,nrOfFunctions,isSZZBugIntroducer
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,12.0,12.0,1.0,0.8304,0.5913,1.0,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,142.0,142.0,1.0,0.803,0.5205,,True
False,0.0,,0.0435,0.6541,0.327,1.0,9734216.0,2.0,2.0,136.0,16.0,0.11764706,0.8197,0.6533,,True
False,0.0,0.3101,0.3778,0.3977,0.1989,2.0,24339652.0,2.0,2.0,149.0,13.0,0.087248325,0.6732,0.6778,,True
False,0.0,,0.0261,0.3685,0.1228,3.0,27117578.0,3.0,3.0,149.0,4.0,0.026845638,0.6266,0.7268,,True
False,0.0,0.1111,0.1242,0.1346,0.0449,4.0,50256329.0,3.0,3.0,149.0,2.0,0.013422819,0.3046,0.7689,,True
False,0.0,0.1044,0.1062,0.1119,0.0373,5.0,53979017.0,3.0,3.0,144.0,5.0,0.034722224,0.4575,0.75,,False
False,0.0,0.1016,0.113,0.1184,0.0395,6.0,54945105.0,3.0,3.0,144.0,2.0,0.013888889,0.4703,0.7433,,True
False,0.0,,0.039,0.1032,0.0258,7.0,67273948.0,4.0,4.0,149.0,5.0,0.033557046,0.6972,0.7422,,True
False,0.0,0.0337,0.0814,0.1342,0.0336,8.0,70403285.0,4.0,4.0,156.0,7.0,0.044871796,0.7133,0.735,,False
False,0.0,,0.037,0.1597,0.0319,9.0,71246675.0,5.0,5.0,156.0,6.0,0.03846154,0.6949,0.7377,,True
False,0.0,0.0159,0.0889,0.1337,0.0267,10.0,92080713.0,5.0,5.0,156.0,12.0,0.07692308,0.5301,0.774,,True
False,0.0,0.0821,0.084,0.1253,0.0251,11.0,93810478.0,5.0,5.0,156.0,4.0,0.025641026,0.5496,0.7722,,False
False,0.0,0.049,0.083,0.1062,0.0212,12.0,105471338.0,5.0,5.0,161.0,5.0,0.031055901,0.3551,0.767,,False
False,0.0,,0.0119,0.08,0.0133,13.0,115056731.0,6.0,6.0,161.0,2.0,0.0124223605,0.4467,0.7327,,False
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,14.0,14.0,1.0,0.8304,0.5913,0.0,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.8304,0.5913,,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,171.0,171.0,1.0,0.3987,0.7829,,False
False,0.0,1.0,1.0,1.0,1.0,1.0,75910.0,1.0,1.0,182.0,24.0,0.13186814,0.4009,0.7843,,False
False,0.0,0.5248,0.5299,0.5299,0.5299,2.0,13968966.0,1.0,1.0,183.0,1.0,0.0054644807,0.4373,0.7357,,False
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,49.0,49.0,1.0,0.7874,0.5354,,True
False,0.0,,0.02,0.0354,0.0177,1.0,89510577.0,2.0,2.0,49.0,1.0,0.020408163,0.8287,0.5849,,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,259.0,259.0,1.0,0.8117,0.5427,,True
False,0.0,,0.0189,0.7511,0.3756,1.0,6384813.0,2.0,2.0,262.0,3.0,0.011450382,0.8244,0.6178,,True
False,0.0,,0.0603,0.7066,0.2355,2.0,8222512.0,3.0,3.0,277.0,15.0,0.054151624,0.8211,0.6352,,True
False,0.0,0.6126,0.6283,0.7002,0.2334,3.0,8823786.0,3.0,3.0,286.0,10.0,0.034965035,0.818,0.6462,,True
False,0.0,,0.0136,0.6831,0.1708,4.0,9499248.0,4.0,4.0,287.0,3.0,0.010452962,0.8197,0.6533,,True
False,0.0,0.0481,0.0708,0.6863,0.1716,5.0,9508780.0,4.0,4.0,291.0,7.0,0.024054984,0.8196,0.6532,,True
False,0.0,,0.2054,0.5561,0.1112,6.0,19036031.0,5.0,5.0,288.0,64.0,0.22222222,0.71,0.6733,,True
True,1.0,0.2926,0.401,0.5524,0.1105,7.0,19793328.0,5.0,5.0,287.0,41.0,0.14285715,0.6544,0.6815,,False
False,1.0,,0.0131,0.3614,0.0602,8.0,29463117.0,6.0,6.0,289.0,2.0,0.0069204154,0.6221,0.7335,,False
False,1.0,0.2446,0.2462,0.3456,0.0576,9.0,30165674.0,6.0,6.0,287.0,2.0,0.006968641,0.6079,0.7337,,False
False,1.0,0.0025,0.0058,0.3373,0.0562,10.0,30778678.0,6.0,6.0,287.0,1.0,0.0034843206,0.6241,0.7384,,False
False,1.0,0.0042,0.0107,0.2486,0.0414,11.0,37835965.0,6.0,6.0,288.0,1.0,0.0034722222,0.5728,0.7618,,False
False,1.0,0.0029,0.0158,0.2451,0.0409,12.0,38986020.0,6.0,6.0,290.0,2.0,0.0068965517,0.4918,0.7655,,False
False,1.0,0.1197,0.131,0.1932,0.0322,13.0,45356244.0,6.0,6.0,292.0,2.0,0.006849315,0.3682,0.7805,,False
False,1.0,0.0102,0.0533,0.2053,0.0342,14.0,48310134.0,6.0,6.0,299.0,12.0,0.040133778,0.2714,0.7726,,False
False,1.0,0.0531,0.0678,0.217,0.0362,15.0,48400694.0,6.0,6.0,301.0,3.0,0.009966778,0.2733,0.7712,,False
False,1.0,0.0633,0.069,0.2071,0.0345,16.0,49944640.0,6.0,6.0,302.0,1.0,0.0033112583,0.2502,0.7625,,False
False,1.0,0.0213,0.0215,0.1901,0.0317,17.0,51918968.0,6.0,6.0,299.0,3.0,0.0100334445,0.3195,0.7473,,False
False,1.0,0.0215,0.0399,0.2064,0.0344,18.0,51921425.0,6.0,6.0,299.0,6.0,0.020066889,0.321,0.7475,,False
False,1.0,0.0044,0.0226,0.1894,0.0316,19.0,55637786.0,6.0,6.0,302.0,5.0,0.01655629,0.5039,0.7444,,False
False,1.0,,0.0295,0.2097,0.03,20.0,56072838.0,7.0,7.0,310.0,8.0,0.025806451,0.5216,0.7386,,False
False,1.0,0.0491,0.0576,0.2119,0.0303,21.0,56598452.0,7.0,7.0,311.0,2.0,0.006430868,0.5299,0.7366,,False
False,1.0,0.0407,0.0572,0.1642,0.0235,22.0,64112930.0,7.0,7.0,316.0,5.0,0.015822785,0.7076,0.7415,,False
