isRefactor,totalRefactors,dok0.004AuthorPreCommit,dok0.004AuthorPostCommit,dok0.004Sum,dok0.004Avg,revision,age,authors,totalAuthors,totalLoc,modified,relativeModified,180fileHcpf,180commitHcpf,nrOfFunctions,isSZZBugIntroducer
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,75.0,75.0,1.0,0.7867,0.7243,9.0,True
False,0.0,0.9646,0.9655,0.9655,0.9655,1.0,817837.0,1.0,1.0,76.0,1.0,0.013157895,0.8655,0.6893,9.0,True
False,0.0,0.8258,0.8303,0.8303,0.8303,2.0,4194526.0,1.0,1.0,76.0,2.0,0.02631579,0.852,0.6558,9.0,True
False,0.0,0.8042,0.8091,0.8091,0.8091,3.0,4855089.0,1.0,1.0,77.0,1.0,0.012987013,0.8444,0.6812,9.0,True
False,0.0,0.5291,0.5717,0.5717,0.5717,4.0,14033313.0,1.0,1.0,81.0,7.0,0.086419754,0.8242,0.6793,9.0,True
False,0.0,0.5717,0.7807,0.7807,0.7807,5.0,14038450.0,1.0,1.0,162.0,81.0,0.5,0.8461,0.5332,,True
False,0.0,0.7643,0.7788,0.7788,0.7788,6.0,14541412.0,1.0,1.0,171.0,9.0,0.05263158,0.844,0.532,10.0,True
False,0.0,0.7074,0.7133,0.7133,0.7133,7.0,16621316.0,1.0,1.0,172.0,6.0,0.034883723,0.8165,0.4084,10.0,False
False,0.0,0.705,0.7082,0.7082,0.7082,8.0,16875195.0,1.0,1.0,173.0,1.0,0.0057803467,0.8165,0.4075,10.0,False
False,0.0,,0.0941,0.443,0.2215,9.0,30005427.0,2.0,2.0,191.0,18.0,0.09424084,0.6212,0.4529,10.0,False
False,0.0,0.0941,0.0985,0.4448,0.2224,10.0,30057903.0,2.0,2.0,191.0,6.0,0.03141361,0.6214,0.4527,10.0,False
False,0.0,0.0955,0.1001,0.4337,0.2169,11.0,30746512.0,2.0,2.0,191.0,2.0,0.010471204,0.6227,0.4532,10.0,False
False,0.0,0.3333,0.3901,0.4816,0.2408,12.0,30775714.0,2.0,2.0,209.0,18.0,0.086124405,0.6273,0.4598,,True
False,0.0,0.3901,0.3901,0.4816,0.2408,13.0,30777063.0,2.0,2.0,227.0,18.0,0.07929515,0.6319,0.4667,,False
False,0.0,0.3892,0.4099,0.4967,0.2483,14.0,30843203.0,2.0,2.0,227.0,8.0,0.03524229,0.6712,0.483,10.0,False
True,1.0,0.4075,0.4149,0.5003,0.2502,15.0,30957865.0,2.0,2.0,228.0,2.0,0.00877193,0.6688,0.4823,10.0,False
