isRefactor,totalRefactors,dok0.004AuthorPreCommit,dok0.004AuthorPostCommit,dok0.004Sum,dok0.004Avg,revision,age,authors,totalAuthors,totalLoc,modified,relativeModified,180fileHcpf,180commitHcpf,nrOfFunctions,isSZZBugIntroducer
False,0.0,0.0076,0.0112,0.0309,0.0103,0.0,0.0,3.0,1.0,375.0,125.0,0.33333334,0.8715,0.1808,,True
False,0.0,,,0.0308,0.0103,1.0,71389.0,3.0,2.0,250.0,125.0,0.5,0.8714,0.2247,,False
False,0.0,0.0007,,0.0223,0.0112,2.0,1391555.0,2.0,3.0,125.0,125.0,1.0,0.8749,0.3619,,False
False,0.0,,0.3301,0.4246,0.2123,0.0,0.0,2.0,1.0,132.0,2.0,0.015151516,0.803,0.3007,,False
False,0.0,,,0.0054,0.0054,1.0,70163458.0,1.0,2.0,9.0,133.0,14.777778,0.8867,0.0302,,True
False,0.0,,,0.0054,0.0054,2.0,70234874.0,1.0,3.0,,133.0,,0.8714,0.2247,,False
False,0.0,0.0051,0.0043,0.0043,0.0043,3.0,71555040.0,1.0,4.0,,128.0,,0.8749,0.3619,,False
False,0.0,,0.5,0.7946,0.3973,0.0,0.0,2.0,1.0,1872.0,468.0,0.25,0.803,0.3007,,False
False,0.0,0.0076,0.011,0.0311,0.0104,1.0,70163485.0,3.0,2.0,1409.0,473.0,0.33569908,0.8715,0.1808,,True
False,0.0,,,0.0311,0.0104,2.0,70234874.0,3.0,3.0,936.0,473.0,0.5053419,0.8714,0.2247,,False
False,0.0,0.0014,,0.0232,0.0116,3.0,71555040.0,2.0,4.0,468.0,468.0,1.0,0.8749,0.3619,,False
False,0.0,,0.1135,0.2054,0.0411,0.0,0.0,5.0,1.0,122.0,1.0,0.008196721,0.803,0.3007,,False
False,0.0,0.0981,0.0874,0.0924,0.0231,1.0,70163458.0,4.0,2.0,0.0,122.0,inf,0.8867,0.0302,,True
False,0.0,0.0,0.0,0.092,0.023,2.0,70234874.0,4.0,3.0,,122.0,,0.8714,0.2247,,False
False,0.0,,0.5,0.7946,0.3973,0.0,0.0,2.0,1.0,912.0,304.0,0.33333334,0.803,0.3007,,False
False,0.0,,0.3333,0.808,0.2693,1.0,2405736.0,3.0,2.0,1216.0,304.0,0.25,0.8174,0.3443,,False
False,0.0,0.0076,0.0112,0.0308,0.0103,2.0,70163485.0,3.0,3.0,912.0,304.0,0.33333334,0.8715,0.1808,,True
False,0.0,,,0.0308,0.0103,3.0,70234874.0,3.0,4.0,608.0,304.0,0.5,0.8714,0.2247,,False
False,0.0,0.0005,,0.022,0.011,4.0,71555040.0,2.0,4.0,304.0,304.0,1.0,0.8749,0.3619,,False
False,0.0,,,0.0013,0.0013,0.0,0.0,1.0,1.0,360.0,193.0,0.5361111,0.8867,0.0302,,True
False,0.0,,,0.0013,0.0013,1.0,71416.0,1.0,2.0,167.0,193.0,1.1556886,0.8714,0.2247,,False
False,0.0,0.0011,,0.0001,0.0001,0.0,0.0,1.0,1.0,0.0,50.0,inf,0.8867,0.0302,,True
False,0.0,,,0.0001,0.0001,1.0,71416.0,1.0,2.0,,50.0,,0.8714,0.2247,,False
False,0.0,0.0301,0.0656,0.1752,0.035,0.0,0.0,5.0,1.0,138.0,46.0,0.33333334,0.7779,0.4957,,False
False,0.0,0.0378,0.0747,0.1835,0.0367,1.0,1828359.0,5.0,2.0,184.0,46.0,0.25,0.7818,0.4215,,False
False,0.0,0.0224,0.0021,0.0112,0.0028,2.0,46656082.0,4.0,2.0,138.0,46.0,0.33333334,0.8867,0.0302,,True
False,0.0,0.002,0.002,0.0112,0.0028,3.0,46727498.0,4.0,3.0,92.0,46.0,0.5,0.8714,0.2247,,False
False,0.0,0.0037,0.0015,0.0019,0.001,4.0,48047664.0,2.0,4.0,46.0,46.0,1.0,0.8749,0.3619,,False
False,0.0,0.0029,,0.0003,0.0002,0.0,0.0,2.0,1.0,0.0,79.0,inf,0.8867,0.0302,,True
False,0.0,,,0.0003,0.0001,1.0,71416.0,2.0,2.0,,79.0,,0.8714,0.2247,,False
False,0.0,0.1266,0.149,0.313,0.1565,0.0,0.0,2.0,1.0,303.0,2.0,0.0066006603,0.8396,0.6629,23.0,True
False,0.0,0.0025,0.0001,0.0001,0.0001,1.0,173879839.0,2.0,1.0,361.0,476.0,1.3185595,0.8867,0.0302,,True
False,0.0,,,0.0001,0.0001,2.0,173951255.0,2.0,2.0,,476.0,,0.8714,0.2247,,False
